"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Learn Accessibility by Building a Quiz\index.html", "HTML", 0, 121, 0, 1, 122
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Learn Accessibility by Building a Quiz\styles.css", "CSS", 156, 0, 0, 30, 186
"Total", "-", 156, 121, 0, 31, 308
