"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Certification Build a Tribute Page\index.html", "HTML", 0, 153, 0, 2, 155
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Certification Build a Tribute Page\styles.css", "CSS", 72, 0, 0, 0, 72
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Learn Accessibility by Building a Quiz\index.html", "HTML", 0, -121, 0, -1, -122
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Learn Accessibility by Building a Quiz\styles.css", "CSS", -156, 0, 0, -30, -186
"Total", "-", -84, 32, 0, -29, -81
