"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Certification Build a Tribute Page\index.html", "HTML", 0, 153, 0, 2, 155
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Certification Build a Tribute Page\styles.css", "CSS", 72, 0, 0, 0, 72
"Total", "-", 72, 153, 0, 2, 227
