"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Certification Build a Tribute Page\index.html", "HTML", 0, -153, 0, -2, -155
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Certification Build a Tribute Page\styles.css", "CSS", -72, 0, 0, 0, -72
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Learn Basic CSS by Building a Cafe Menu, Completed\index.html", "HTML", 0, 60, 0, 0, 60
"c:\Users\morosca\Desktop\FreeCodeCamp HTML\Learn Basic CSS by Building a Cafe Menu, Completed\styles.css", "CSS", 76, 0, 1, 19, 96
"Total", "-", 4, -93, 1, 17, -71
